UUID,TCGA_ID
cafc9e36-c5f0-45df-ad03-16210ff0d870,TCGA-E9-A1R3
63afc197-8c49-4150-a98b-61c47f182778,TCGA-BH-A0DZ
c091a9db-8d3f-4dfb-8658-b6b8020c1d5c,TCGA-D8-A142
ee6709eb-718c-4a0e-8b57-3068e0e0fbaf,TCGA-A2-A04P
6e79eeb3-9eae-45f4-92a5-fba71c154c1a,TCGA-D8-A1XJ
f77281dc-f8c5-4da7-b151-873b03e986ad,TCGA-B6-A0RV
9dffcc09-6ccd-4f12-ae6a-1b8b93fcf29c,TCGA-E2-A1LA
db998871-01ff-4a39-ba06-fe3fb1183584,TCGA-E9-A229
3bbc2702-3fa1-455a-9c68-bf082850d9be,TCGA-D8-A1JT
04de1f79-fdfc-4662-bab2-a3ed667c7dea,TCGA-A2-A0CS
488d0d81-4872-4204-b8e8-745e64a35d65,TCGA-BH-A0C7
b707621f-1f89-4058-be18-33020b9ebec3,TCGA-AN-A0FW
d251e6b4-0c25-42ec-b090-daa81ee80a0e,TCGA-A7-A2KD
8bf23a6b-8ca6-4fcf-b4e9-a14c3a875526,TCGA-E2-A1LS
d474de4c-c01d-46f5-92a6-7513f7a38eed,TCGA-D8-A1XM
b0c13073-8725-4707-983c-506fe46205d7,TCGA-E9-A1RB
08814ce5-fdf0-4f06-aabd-bf7b2738cf43,TCGA-E9-A3X8
8643d0bc-0acb-4d6e-b6bd-5a997d2fc39d,TCGA-B6-A3ZX
3cd924c3-5000-49de-a253-92d1cfa9a09a,TCGA-AN-A0G0
1d6fed92-2d3c-46b6-8760-31bc1254cf65,TCGA-AR-A1AK
d1adf0be-5afe-4df7-8f88-dbf7521bcdac,TCGA-D8-A1JC
0c80ffec-6290-4b81-9dba-cb64d142b8a8,TCGA-A7-A5ZX
92b7faad-a817-4464-a074-9b64bf25fad5,TCGA-A8-A09M
4e3fbf45-1a73-437b-8d85-29aa0c8ac6b0,TCGA-D8-A1JI
2966096f-4a35-4dca-ab38-ac86074fa29e,TCGA-D8-A1J8
8ddd5f98-9ebc-488d-830c-817ebd796939,TCGA-GM-A4E0
bb10d315-6038-4513-aa41-d50f20295997,TCGA-E9-A22B
