Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cushing syndrome	2/155	7.040449e-01	8.924367e-01	0	0	8.157197e-01	2.862468e-01	CYP11A1;EGFR
KEGG_2021_Human	Synaptic vesicle cycle	1/78	7.108133e-01	8.924367e-01	0	0	8.109852e-01	2.768261e-01	SLC17A7
KEGG_2021_Human	Necroptosis	2/159	7.172355e-01	8.924367e-01	0	0	7.947742e-01	2.641440e-01	IL33;STAT4
KEGG_2021_Human	B cell receptor signaling pathway	1/81	7.243158e-01	8.924367e-01	0	0	7.804538e-01	2.517181e-01	PRKCB
KEGG_2021_Human	Peroxisome	1/82	7.286754e-01	8.924367e-01	0	0	7.707793e-01	2.439724e-01	ABCD2
KEGG_2021_Human	Hepatocellular carcinoma	2/168	7.451160e-01	8.924367e-01	0	0	7.513376e-01	2.210551e-01	PRKCB;EGFR
KEGG_2021_Human	Colorectal cancer	1/86	7.454375e-01	8.924367e-01	0	0	7.343574e-01	2.157425e-01	EGFR
KEGG_2021_Human	Taste transduction	1/86	7.454375e-01	8.924367e-01	0	0	7.343574e-01	2.157425e-01	SCN3A
KEGG_2021_Human	Shigellosis	3/246	7.470396e-01	8.924367e-01	0	0	7.693099e-01	2.243593e-01	C3;PRKCQ;EGFR
KEGG_2021_Human	Cardiac muscle contraction	1/87	7.494641e-01	8.924367e-01	0	0	7.257814e-01	2.093130e-01	SLC8A3
KEGG_2021_Human	Salmonella infection	3/249	7.543493e-01	8.924367e-01	0	0	7.598108e-01	2.141905e-01	PTPRC;FLNC;PAK3
KEGG_2021_Human	Influenza A	2/172	7.567340e-01	8.924367e-01	0	0	7.335087e-01	2.044608e-01	IL33;PRKCB
KEGG_2021_Human	GABAergic synapse	1/89	7.573280e-01	8.924367e-01	0	0	7.092140e-01	1.971323e-01	PRKCB
KEGG_2021_Human	Bile secretion	1/90	7.611671e-01	8.924367e-01	0	0	7.012095e-01	1.913617e-01	ABCB1
KEGG_2021_Human	Endocytosis	3/252	7.614888e-01	8.924367e-01	0	0	7.505406e-01	2.045072e-01	PDGFRA;CCR5;EGFR
KEGG_2021_Human	Morphine addiction	1/91	7.649457e-01	8.924367e-01	0	0	6.933829e-01	1.857922e-01	PRKCB
KEGG_2021_Human	Salivary secretion	1/93	7.723251e-01	8.956186e-01	0	0	6.782401e-01	1.752232e-01	PRKCB
KEGG_2021_Human	IL-17 signaling pathway	1/94	7.759277e-01	8.956186e-01	0	0	6.709130e-01	1.702079e-01	CXCL2
KEGG_2021_Human	Circadian entrainment	1/97	7.863981e-01	8.972878e-01	0	0	6.498474e-01	1.561532e-01	PRKCB
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	7.863981e-01	8.972878e-01	0	0	6.498474e-01	1.561532e-01	PRKCB
KEGG_2021_Human	mRNA surveillance pathway	1/98	7.897787e-01	8.972878e-01	0	0	6.431151e-01	1.517768e-01	PPP2R2B
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	7.963807e-01	9.000761e-01	0	0	6.300585e-01	1.434504e-01	IGF1
KEGG_2021_Human	Pancreatic secretion	1/102	8.027760e-01	9.026031e-01	0	0	6.175191e-01	1.356563e-01	PRKCB
KEGG_2021_Human	C-type lectin receptor signaling pathway	1/104	8.089711e-01	9.048801e-01	0	0	6.054666e-01	1.283541e-01	EGR2
KEGG_2021_Human	TNF signaling pathway	1/112	8.318711e-01	9.213233e-01	0	0	5.615998e-01	1.033781e-01	CXCL2
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	8.321630e-01	9.213233e-01	0	0	6.193950e-01	1.137996e-01	PRKCB;MMP2
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	8.543780e-01	9.390884e-01	0	0	5.192410e-01	8.171897e-02	PRKCB
KEGG_2021_Human	cAMP signaling pathway	2/216	8.569984e-01	9.390884e-01	0	0	5.813801e-01	8.971812e-02	CAMK4;GLI1
KEGG_2021_Human	Platelet activation	1/124	8.611916e-01	9.390884e-01	0	0	5.064989e-01	7.569029e-02	MYLK
KEGG_2021_Human	Oocyte meiosis	1/129	8.718487e-01	9.412496e-01	0	0	4.865894e-01	6.673054e-02	IGF1
KEGG_2021_Human	Purine metabolism	1/129	8.718487e-01	9.412496e-01	0	0	4.865894e-01	6.673054e-02	AMPD1
KEGG_2021_Human	Autophagy	1/137	8.872293e-01	9.522107e-01	0	0	4.577791e-01	5.477411e-02	PRKCQ
KEGG_2021_Human	Fluid shear stress and atherosclerosis	1/139	8.907777e-01	9.522107e-01	0	0	4.510985e-01	5.217420e-02	MMP2
KEGG_2021_Human	Phagosome	1/152	9.112796e-01	9.690237e-01	0	0	4.119880e-01	3.827597e-02	C3
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	9.154372e-01	9.690237e-01	0	0	4.039002e-01	3.568603e-02	LEPR
KEGG_2021_Human	Prion disease	2/273	9.308880e-01	9.805956e-01	0	0	4.577532e-01	3.278260e-02	EGR1;C7
KEGG_2021_Human	Tuberculosis	1/180	9.433295e-01	9.848308e-01	0	0	3.470448e-01	2.024648e-02	C3
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	9.442301e-01	9.848308e-01	0	0	3.450991e-01	1.980364e-02	CXCL2
KEGG_2021_Human	Alcoholism	1/186	9.485237e-01	9.848308e-01	0	0	3.356860e-01	1.774051e-02	CAMK4
KEGG_2021_Human	Thermogenesis	1/232	9.753901e-01	9.991414e-01	0	0	2.682053e-01	6.683078e-03	PRDM16
KEGG_2021_Human	Amyotrophic lateral sclerosis	2/364	9.796680e-01	9.991414e-01	0	0	3.410764e-01	7.006242e-03	GPX3;NRG1
KEGG_2021_Human	Pathways of neurodegeneration	3/475	9.811211e-01	9.991414e-01	0	0	3.913991e-01	7.459839e-03	PRKCB;GPX3;SNCAIP
KEGG_2021_Human	Parkinson disease	1/249	9.812725e-01	9.991414e-01	0	0	2.496019e-01	4.718748e-03	SNCAIP
KEGG_2021_Human	Huntington disease	1/306	9.925181e-01	9.991414e-01	0	0	2.023598e-01	1.519738e-03	GPX3
KEGG_2021_Human	Herpes simplex virus 1 infection	2/498	9.969394e-01	9.991414e-01	0	0	2.472045e-01	7.577664e-04	C3;TNFSF14
