Gene,logFC,pvalue
FAM171A1,0.9090689928009905,2.210907252519494e-90
GLI1,1.227629134063013,3.267037050142694e-90
RUNX3,1.0647508918550168,8.680538768788308e-90
CLDN11,1.1656889143616227,1.941210857298025e-89
XPNPEP2,1.2068446007753781,2.4340424568249583e-89
IKZF1,1.149890703714111,5.308029186105898e-89
HAPLN3,0.9152930563046435,1.0025518009049545e-88
TSLP,1.1706956427734667,1.3608388985763164e-88
TRPM6,1.0637234119550838,1.8458090782027095e-88
LOXL4,0.939744481122483,2.9496438705586995e-88
MRGPRF,1.2233537405952295,4.4448738715276004e-88
PPP1R16B,1.1473701627839712,8.158354216359433e-88
ARHGAP20,1.175944511755504,1.2909288738917767e-87
S100B,0.9880508083496514,1.5355814784999837e-87
IL34,0.9538007371632649,2.35715400776849e-87
LIPG,1.0871382811274606,4.269802121707411e-87
FMO2,1.1692075432420956,4.342140151243835e-87
PRKCQ,1.1317573572318445,8.149273764579734e-87
PRKCB,1.1281298280387795,1.3016179106278096e-86
ASB2,1.1216316463859657,2.942425253336322e-86
IL33,1.188020066129447,4.605613158880964e-86
KIAA1755,1.0975552962700212,6.448036697531503e-86
TOX,1.105474630063924,1.560948629772111e-85
IL7R,1.1794971044828628,2.2707310840119862e-85
AKAP12,1.1230204872095966,3.287609410841876e-85
NGFR,1.1794484411059065,3.4650504134800136e-85
NSG1,1.1116737155624294,1.4980004248269403e-84
MEOX2,1.1250714371917265,2.0150102885995743e-84
ADAMTS3,1.0368662351393598,2.6303629587764614e-84
FAM107A,0.9958518938667721,2.785932870135362e-84
EPHB6,0.9936512693319115,7.368254340258507e-84
MEDAG,1.1293214330446713,7.464166832688268e-84
PTGFR,1.10858032699491,9.455439751619123e-84
C2orf88,1.0187514290156336,9.733423174951044e-84
CLCN4,0.9520213528146811,1.0707751297164624e-83
CHRDL1,1.224897426182508,2.4310807816793036e-83
FOXC1,0.7040597007419097,2.4965780048904788e-83
RASSF9,1.1629630185358484,3.11239445757689e-83
SPN,1.0897327586094192,1.3705621009015546e-82
ADGRD1,1.1351469220653314,1.3953112498617724e-82
FHL1,1.1384945572612293,2.8899062779959816e-82
TESPA1,1.1152245556560676,3.084224844919731e-82
SNCAIP,1.0754661366507037,3.9744743103349626e-82
TNXB,1.115359907541783,5.102037226787955e-82
IGSF10,1.1879825626269804,9.363117380743977e-82
TNFRSF8,1.1423678920206075,1.3834025187792468e-81
PAK3,1.0743810896940962,2.0445776076835997e-81
ID4,1.0220663632241702,2.357720348114814e-81
EPHB1,0.9092407068858372,2.493441099640711e-81
STAT4,1.167991183427644,2.5016977664039624e-81
KCNMB1,1.0287552664019026,3.0247124746336435e-81
KCNA2,1.0757762383474925,4.0362775128650087e-81
CD1C,1.1271415632277861,5.305699794502846e-81
ROR1,1.1075329116965542,5.782731574792772e-81
FGF7,1.1772274751154876,6.8311559814706e-81
LY9,1.129405804414696,6.8557177807402995e-81
CCR2,1.1081608046810667,1.0591124423709616e-80
TMEM71,0.9849486813638185,1.0739454828851395e-80
PDGFRA,1.2515385470208384,1.4862430181560855e-80
LAMA2,1.1499263279647223,1.5364914659573614e-80
CHL1,1.1637944869456254,1.7917014735518763e-80
