,PC1,PC2,Cluster
42cc31fb-3bc2-4d21-b821-2d05aca800e7,35.71386931364504,22.395882981963812,0
412b96f4-4463-49ab-aee6-78b3859e7b70,24.512010094783953,20.072670478391377,0
c5c93338-4046-4247-b5c2-ef133609797e,11.755072372274428,19.694810982838586,0
fac3e41a-3b98-4293-855f-d23cb01522d0,20.11400424772825,17.486906385864,0
c2e73efe-8112-48fc-9dbd-29b4b5b89ad0,4.316403570883233,11.131224529126278,0
06a03e45-7315-4a8d-9fef-d841a4a8043c,4.902927191454247,-6.67507975321177,0
0e062eef-29b8-4622-afd9-0d3f0d1c37d6,1.193569530089786,8.621309848800305,0
59c3ac05-7a99-4817-ae14-1584f2b7bf36,-21.899282136189104,20.598150821333743,2
1044dff3-e077-4086-8d78-e3c125ec0c84,-5.932986349085276,-76.55989567167072,1
3d31d7a9-76b8-41f4-a037-0dfe6a4ecb0c,-10.833493341291751,12.009047321664491,2
5042d093-d8af-492a-8c40-5aaea17d66e6,12.317500909409606,27.713671357889716,0
19afe60a-30a2-45f6-b4fb-de935154027c,-23.55511938030076,-14.26090374792692,2
29789e2c-1555-46e0-8e17-8a252933d84d,8.837638345491936,26.378868087550167,0
93f8d395-2512-41fc-992e-236b706dd281,11.04322928370949,8.968468306647441,0
a37efe02-9662-4b90-8251-003ccb96aed4,3.6671699369394295,-22.11047529784135,1
0b0b23c2-dac8-45cf-ba91-913776b00a33,-18.653591247732273,4.3453160357632,2
dc3a76a7-bac2-43c0-90e2-e251e459c659,-11.881921066963026,-4.084849577179534,2
ef54e4a6-4447-425f-be33-e428e5838daa,4.780453927566316,23.48501049538467,0
4c6f18b9-eb4c-4b7f-90ee-0c3194407be7,-3.770046639195332,16.86765886543093,0
d32c4662-2b0b-4f78-b031-e6ff5286664c,-23.772615867512076,9.5655933110313,2
d5926b71-692e-4b6f-a7e1-8b5afdd745c6,-47.578996236873074,-23.287561246684202,2
e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af,56.44101103396165,-7.138823675345353,1
43d15c49-f348-48a8-b00f-7f6a7b605a04,-7.362979167587416,10.869910879431004,0
01f6286b-8422-4f16-bec3-871c86396790,-40.93399032461476,-10.564640582299955,2
22aac1ce-7a45-481b-b3f6-6393deeadcd6,9.193744308558577,22.142270243493755,0
0d9db3d9-8f0a-41f8-bf2b-5de447d676b8,11.166141534923076,15.851224339355408,0
bb06ad3a-4d73-4f88-8f3c-954dce2b38ef,4.662731316533602,30.439887903416434,0
8229679f-179d-42b8-a9e7-7d733fe9969e,6.552102324550995,19.73820772537698,0
2dd0b954-db3e-402d-9c06-6160e199dedb,41.6833208011264,-10.449145511516047,1
9899646e-d5be-4429-a7f2-0251bed9721d,1.8945120177570653,-3.8720270051564465,0
0c311d42-5038-4408-ac4a-5ffbb02817e4,2.4632111906689205,-57.846511084757616,1
2553a422-8136-4fb9-95af-3ffafff2d223,26.14714626181941,-8.771397457329176,1
24eddfec-08a0-48fa-bef3-a4b9bd740170,2.298548848296946,0.8513018251446149,0
a0707dab-b8bd-4a57-a890-69a3f4daacf6,3.5071711374281027,-33.28189575995681,1
7830107d-bc45-4391-b95c-787a246cf059,24.108936967184178,24.98343433635247,0
b47b2efb-02e1-4729-95ad-de05fb551bc7,-11.98707112092079,17.153641207056815,0
d635a6e8-ecb3-4f9c-a56a-af1d0c714d7a,5.009444130383811,8.58811446763564,0
e619e3c8-f6eb-4b0a-bf17-005ccbe269bb,-9.960788257362005,9.222127578957291,2
825c4fa0-4d98-402e-9c1b-9ee0a1a6ce15,13.97072336066944,32.27012520416932,0
a7bca7c2-8c54-4ad1-9deb-7f77c962bb07,32.35328184563979,-30.60927127397525,1
9d025af7-ba40-4329-9308-d039aaad900b,-49.8340796152698,-19.877480790062574,2
bf67d13e-231c-4cb7-8381-fb19c4fe90ed,1.8765511060246807,24.963609626305406,0
91941243-48d2-4416-b104-0affb8c46316,-29.135108566865718,8.699722231036137,2
b85209a5-128a-4aff-83d4-1ab336d82b95,17.37474734834376,29.408949108918954,0
4e3fbf45-1a73-437b-8d85-29aa0c8ac6b0,-48.562384223542715,3.5956549165571885,2
fcc2a5c0-ec23-43b5-b616-9b03c8ff4129,16.978402541486854,-5.777070350859188,0
4c915c9f-4e60-48d4-a4c5-7d055940b65f,-2.492077826123923,18.122568073546127,0
36bbebb5-ba1e-4ac6-83b2-67ccd05e4939,9.90993510400717,32.92228509373327,0
2973fc8f-d20c-4cf3-b183-2ac32df73ae7,4.977372237475393,11.716855988572021,0
f532a6be-de3e-420c-960a-23627589e7ad,16.37168735991611,-53.651582244520206,1
